tt10850402	tvSeries	Çocuk	2019	120	Drama
tt9055052 	tvSeries	Breakfast with Champions	2017		Comedy,Sport,Talk-Show
tt8769260 	tvSeries	Encounter	2018	60	Drama,Romance
tt8141256 	tvSeries	Restored	2017		Reality-TV
tt10066406	tvSeries	Secrets of the Morgue	2018	42	Crime,Mystery
tt12511606	tvSeries	1pm Daily Update	2020		News
tt10850888	tvSeries	My Country: The New Age	2019	80	Action,Drama,History
tt7340800 	tvSeries	Revolutionary Love	2017		Comedy,Romance
tt9522300 	tvSeries	Kaguya-sama: Love is War	2019	24	Animation,Comedy,Romance
tt8690890 	tvSeries	Meteor Garden	2018	45	Drama,Romance
tt9780390 	tvSeries	The Aquarium	2019		Reality-TV
tt10405394	tvSeries	Designated Survivor: 60 Days	2019	70	Drama,Thriller
tt8788222 	tvSeries	Scott The Woz	2017	11	Comedy
tt7675948 	tvSeries	Pushpavalli	2017	22	Comedy,Short,Thriller
tt11719436	tvSeries	A Series of Light	2020		Thriller
tt8392956 	tvSeries	Konak kod Hilmije	2018		Comedy,History,War
tt6779398 	tvSeries	Wednesday Addiction	2017		Game-Show
tt10689840	tvSeries	Ask Aglatir	2019	120	Drama
tt8305276 	tvSeries	Seatbelt Psychic	2018		Reality-TV
tt8307944 	tvSeries	Something Else to Wrestle with Bruce Prichard	2018	60	Talk-Show
tt5788792 	tvSeries	The Marvelous Mrs. Maisel	2017	57	Comedy,Drama
tt9434996 	tvSeries	The Real Bros of Simi Valley	2017	30	Comedy
tt11827694	tvSeries	Train	2020	60	Fantasy,Mystery,Sci-Fi
tt11357084	tvSeries	Alif	2019		Drama
tt9460980 	tvSeries	Sunday	2019		Comedy
tt8451992 	tvSeries	Double Dare	2018	30	Game-Show
tt7094780 	tvSeries	Mr. Sunshine	2018	80	Action,Drama,History
tt7521778 	tvSeries	I'm Not a Robot	2017	35	Comedy,Romance,Sci-Fi
tt6536562 	tvSeries	The Last Emperor: Abdul Hamid II	2017	120	Action,Drama,History
tt8060322 	tvSeries	Littlest Pet Shop: A World of Our Own	2017	11	Animation,Comedy,Fantasy
tt7221388 	tvSeries	Cobra Kai	2018	30	Action,Comedy,Drama
tt10850932	tvSeries	Crash Landing on You	2019	70	Comedy,Romance
tt1475582 	tvSeries	Sherlock	2010	88	Crime,Drama,Mystery
tt11494400	tvSeries	Blind Wave: Naruto Reaction	2019	25	Talk-Show
tt7768840 	tvSeries	Tropical Cop Tales	2018		Comedy
tt8103530 	tvSeries	We'll Meet Again	2018	50	Documentary
tt8266218 	tvSeries	Tiny Ones Transport Service	2019		Adventure,Animation,Comedy
tt2356777 	tvSeries	True Detective	2014	55	Crime,Drama,Mystery
tt2583620 	tvSeries	The Twilight Zone	2019	60	Drama,Fantasy,Horror
tt7855292 	tvSeries	Dear Heirs	2018		Comedy,Drama,Family
tt8236544 	tvSeries	Life on Mars	2018	65	Crime,Drama,Mystery
tt7006666 	tvSeries	Pinkalicious & Peterrific	2018	30	Animation,Family,Fantasy
tt8187102 	tvSeries	Puman och Poeten	2018		Comedy
tt9572814 	tvSeries	The Dream Motel	2019		Drama
tt6986982 	tvMiniSeries	Percy Jackson Web Series	2017		Adventure
tt6685272 	tvSeries	The Repair Shop	2017	30	Documentary,Reality-TV
tt11542210	tvMiniSeries	Bad Genius	2020		Comedy,Crime,Drama
tt0944947 	tvSeries	Game of Thrones	2011	57	Action,Adventure,Drama
tt6396252 	tvSeries	Ölene Kadar	2017	120	Drama
tt7923710 	tvSeries	My Mister	2018	70	Drama,Family
tt0795176 	tvMiniSeries	Planet Earth	2006	538	Documentary
tt9335498 	tvSeries	Demon Slayer: Kimetsu No Yaiba	2019	25	Action,Animation,Fantasy
tt8084058 	tvSeries	Suits	2018	60	Crime,Drama,Thriller
tt8959856 	tvSeries	Sydney to the Max	2019	22	Comedy,Family
tt8199972 	tvSeries	100 Days My Prince	2018	75	Comedy,History,Romance
tt10872880	tvMiniSeries	Lego Jurassic World: Legend of Isla Nublar	2019		Adventure,Animation,Comedy
tt11503082	tvSeries	Scissor Seven	2020	13	Action,Animation
tt7146326 	tvSeries	The Family Business	2018	50	Action,Crime,Drama
tt9471962 	tvSeries	Halka	2019	120	Action,Crime,Drama
tt7592742 	tvSeries	Five Points	2018		Drama
tt10427102	tvSeries	Qalby Etmaan	2018		Reality-TV
tt9135436 	tvSeries	Good Eats: Reloaded	2018		Comedy,Documentary
tt8929906 	tvSeries	In Family We Trust	2018		Drama,Thriller
tt7431994 	tvSeries	The Pit	2017	120	Action,Crime,Thriller
tt11378124	tvSeries	Stove League	2019	60	Drama,Sport
tt7368796 	tvSeries	Caer en tentación	2017		Drama
tt11317550	tvSeries	Dream Life	2020	25	Reality-TV
tt7890244 	tvSeries	Misty	2018	60	Drama,Mystery,Romance
tt4093826 	tvSeries	Twin Peaks	2017	60	Crime,Drama,Fantasy
tt6850980 	tvSeries	Bizarre Murders	2018		Crime
tt10155470	tvSeries	Paranormal 911	2019	42	Horror
tt11557904	tvSeries	Tell Me What You Saw	2020	60	Mystery,Thriller
tt11546860	tvSeries	TharnType	2019	52	Romance
tt8083832 	tvSeries	About Time	2018		Fantasy
tt5421602 	tvSeries	Anne with an E	2017	60	Drama
tt12196730	tvMiniSeries	101 Lições de Cinema	2020		Family,Reality-TV
tt11804034	tvSeries	Hi Bye, Mama!	2020	70	Comedy,Drama,Fantasy
tt0063929 	tvSeries	Monty Python's Flying Circus	1969	30	Comedy
tt0108778 	tvSeries	Friends	1994	22	Comedy,Romance
tt7222902 	tvSeries	Dev	2017		Crime,Drama,Mystery
tt10219442	tvSeries	Flipping Bangers	2018		Reality-TV
tt0112130 	tvMiniSeries	Pride and Prejudice	1995	327	Drama,Romance
tt12453442	tvSeries	Bay Yanlis	2020		Comedy,Romance
tt10149980	tvSeries	Entangled	2019	50	Drama,Romance,Thriller
tt12508898	tvSeries	Gameboys	2020		Romance
tt8848336 	tvSeries	Haunted Hospitals	2018		Horror,Reality-TV
tt0268093 	tvSeries	Ramayan	1987	30	Adventure,Drama,Family
tt7354646 	tvSeries	Captain Callum Adventures	2017		Reality-TV
tt6866070 	tvSeries	The Insider's Watchlist	2017		Talk-Show
tt8747430 	tvSeries	Jesus	2018	60	Drama
